City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Loudi,CN,27.7344,111.9944,73.15,74,0,1.03,clear sky
305,Hay River,CA,60.8156,-115.7999,46.53,93,100,8.52,light rain
306,Meulaboh,ID,4.1363,96.1285,76.05,88,100,3.27,overcast clouds
307,Mago,RU,53.2514,140.1822,35.13,91,0,1.23,clear sky
308,Carballo,ES,43.213,-8.691,69.06,75,5,11.48,clear sky
309,Marzuq,YE,14.4,46.4667,81.23,54,84,5.91,broken clouds
310,Bambous Virieux,MU,-20.3428,57.7575,70.21,67,33,13.06,scattered clouds
311,Madang,PG,-5.2246,145.7966,75.87,93,97,2.73,overcast clouds
312,Nuuk,GL,64.1835,-51.7216,34.81,63,99,3.62,overcast clouds
313,Tuatapere,NZ,-46.1333,167.6833,44.82,91,59,3.85,broken clouds
314,Mawlaik,MM,23.6333,94.4167,74.32,99,100,0.4,overcast clouds
315,Geraldton,AU,-28.7667,114.6,65.3,30,0,11.86,clear sky
316,Chuy,UY,-33.6971,-53.4616,57.27,66,6,15.17,clear sky
317,Paragominas,BR,-2.9667,-47.4833,91.54,41,42,6.85,scattered clouds
318,Grand Gaube,MU,-20.0064,57.6608,70.38,69,5,5.99,clear sky
319,Codrington,AU,-38.2667,141.9667,50.97,94,99,7.94,overcast clouds
320,Degtyarsk,RU,56.704,60.0879,33.93,93,10,4.56,clear sky
321,Clyde River,CA,70.4692,-68.5914,31.21,69,63,10.22,broken clouds
322,Namatanai,PG,-3.6667,152.4333,77.97,85,100,4.25,light rain
323,Northam,GB,51.0333,-4.2167,62.67,88,98,5.5,overcast clouds
324,Anchorage,US,61.2181,-149.9003,40.95,65,100,11.01,overcast clouds
325,Ingham,US,42.6,-84.3833,74.01,82,100,10.09,overcast clouds
326,Khasan,RU,42.4308,130.6434,64.13,96,25,2.68,scattered clouds
327,Denpasar,ID,-8.65,115.2167,76.95,84,98,4.79,overcast clouds
328,Strezhevoy,RU,60.7333,77.5889,35.1,98,100,4.5,overcast clouds
329,College,US,64.8569,-147.8028,33.58,72,100,1.01,overcast clouds
330,Poum,NC,-20.2333,164.0167,74.41,71,97,9.4,overcast clouds
331,Yaan,NG,7.3833,8.5667,70.84,94,97,4.5,overcast clouds
332,Pandan,PH,14.0453,124.1694,79.86,84,98,5.86,overcast clouds
333,Whitefish,US,48.4111,-114.3376,58.5,68,2,4.34,clear sky
334,Portland,US,45.5234,-122.6762,77.0,49,1,1.01,clear sky
335,Farafangana,MG,-22.8167,47.8333,70.56,83,10,12.57,clear sky
336,Saint Anthony,US,45.0205,-93.218,68.25,56,2,5.99,clear sky
337,Ust-Tsilma,RU,65.441,52.1498,38.62,81,62,4.0,broken clouds
338,Toora-Khem,RU,52.4675,96.11,30.9,83,99,1.34,overcast clouds
339,Ako,JP,34.75,134.4,76.5,88,46,12.62,scattered clouds
340,Emba,KZ,48.8264,58.1442,50.67,33,69,12.08,broken clouds
341,Sechura,PE,-5.5569,-80.8222,75.56,59,23,16.98,few clouds
342,Wilmington,US,34.2257,-77.9447,79.99,85,97,1.99,heavy intensity rain
